region,instance_type
eu-north-1,c5d.18xlarge
eu-north-1,c5d.24xlarge
eu-north-1,c5d.2xlarge
eu-north-1,c5d.4xlarge
eu-north-1,c5d.9xlarge
eu-north-1,c5d.large
eu-north-1,c5d.metal
eu-north-1,c5d.xlarge
eu-north-1,c5n.18xlarge
eu-north-1,c5n.2xlarge
eu-north-1,c5n.4xlarge
eu-north-1,c5n.9xlarge
eu-north-1,c5n.large
eu-north-1,c5n.metal
eu-north-1,c5n.xlarge
eu-north-1,c6g.12xlarge
eu-north-1,c6g.16xlarge
eu-north-1,c6g.2xlarge
eu-north-1,c6g.4xlarge
eu-north-1,c6g.8xlarge
eu-north-1,c6g.large
eu-north-1,c6g.medium
eu-north-1,c6g.metal
eu-north-1,c6g.xlarge
eu-north-1,c6gd.12xlarge
eu-north-1,c6gd.16xlarge
eu-north-1,c6gd.2xlarge
eu-north-1,c6gd.4xlarge
eu-north-1,c6gd.8xlarge
eu-north-1,c6gd.large
eu-north-1,c6gd.medium
eu-north-1,c6gd.metal
eu-north-1,c6gd.xlarge
eu-north-1,c6gn.12xlarge
eu-north-1,c6gn.16xlarge
eu-north-1,c6gn.2xlarge
eu-north-1,c6gn.4xlarge
eu-north-1,c6gn.8xlarge
eu-north-1,c6gn.large
eu-north-1,c6gn.medium
eu-north-1,c6gn.xlarge
eu-north-1,c6i.12xlarge
eu-north-1,c6i.16xlarge
eu-north-1,c6i.24xlarge
eu-north-1,c6i.2xlarge
eu-north-1,c6i.32xlarge
eu-north-1,c6i.4xlarge
eu-north-1,c6i.8xlarge
eu-north-1,c6i.large
eu-north-1,c6i.metal
eu-north-1,c6i.xlarge
eu-north-1,c6in.12xlarge
eu-north-1,c6in.16xlarge
eu-north-1,c6in.24xlarge
eu-north-1,c6in.2xlarge
eu-north-1,c6in.32xlarge
eu-north-1,c6in.4xlarge
eu-north-1,c6in.8xlarge
eu-north-1,c6in.large
eu-north-1,c6in.metal
eu-north-1,c6in.xlarge
eu-north-1,c7a.12xlarge
eu-north-1,c7a.16xlarge
eu-north-1,c7a.24xlarge
eu-north-1,c7a.2xlarge
eu-north-1,c7a.32xlarge
eu-north-1,c7a.48xlarge
eu-north-1,c7a.4xlarge
eu-north-1,c7a.8xlarge
eu-north-1,c7a.large
eu-north-1,c7a.medium
eu-north-1,c7a.metal-48xl
eu-north-1,c7a.xlarge
eu-north-1,c7g.12xlarge
eu-north-1,c7g.16xlarge
eu-north-1,c7g.2xlarge
eu-north-1,c7g.4xlarge
eu-north-1,c7g.8xlarge
eu-north-1,c7g.large
eu-north-1,c7g.medium
eu-north-1,c7g.metal
eu-north-1,c7g.xlarge
eu-north-1,c7gd.12xlarge
eu-north-1,c7gd.16xlarge
eu-north-1,c7gd.2xlarge
eu-north-1,c7gd.4xlarge
eu-north-1,c7gd.8xlarge
eu-north-1,c7gd.large
eu-north-1,c7gd.medium
eu-north-1,c7gd.metal
eu-north-1,c7gd.xlarge
eu-north-1,c7i-flex.12xlarge
eu-north-1,c7i-flex.16xlarge
eu-north-1,c7i-flex.2xlarge
eu-north-1,c7i-flex.4xlarge
eu-north-1,c7i-flex.8xlarge
eu-north-1,c7i-flex.large
eu-north-1,c7i-flex.xlarge
eu-north-1,c7i.12xlarge
eu-north-1,c7i.16xlarge
eu-north-1,c7i.24xlarge
eu-north-1,c7i.2xlarge
eu-north-1,c7i.48xlarge
eu-north-1,c7i.4xlarge
eu-north-1,c7i.8xlarge
eu-north-1,c7i.large
eu-north-1,c7i.metal-24xl
eu-north-1,c7i.metal-48xl
eu-north-1,c7i.xlarge
eu-north-1,c8g.12xlarge
eu-north-1,c8g.16xlarge
eu-north-1,c8g.24xlarge
eu-north-1,c8g.2xlarge
eu-north-1,c8g.48xlarge
eu-north-1,c8g.4xlarge
eu-north-1,c8g.8xlarge
eu-north-1,c8g.large
eu-north-1,c8g.medium
eu-north-1,c8g.metal-24xl
eu-north-1,c8g.metal-48xl
eu-north-1,c8g.xlarge
eu-north-1,d2.2xlarge
eu-north-1,d2.4xlarge
eu-north-1,d2.8xlarge
eu-north-1,d2.xlarge
eu-north-1,g4dn.12xlarge
eu-north-1,g4dn.16xlarge
eu-north-1,g4dn.2xlarge
eu-north-1,g4dn.4xlarge
eu-north-1,g4dn.8xlarge
eu-north-1,g4dn.metal
eu-north-1,g4dn.xlarge
eu-north-1,g5.12xlarge
eu-north-1,g5.16xlarge
eu-north-1,g5.24xlarge
eu-north-1,g5.2xlarge
eu-north-1,g5.48xlarge
eu-north-1,g5.4xlarge
eu-north-1,g5.8xlarge
eu-north-1,g5.xlarge
eu-north-1,g6.12xlarge
eu-north-1,g6.16xlarge
eu-north-1,g6.24xlarge
eu-north-1,g6.2xlarge
eu-north-1,g6.48xlarge
eu-north-1,g6.4xlarge
eu-north-1,g6.8xlarge
eu-north-1,g6.xlarge
eu-north-1,gr6.4xlarge
eu-north-1,gr6.8xlarge
eu-north-1,hpc6a.48xlarge
eu-north-1,hpc6id.32xlarge
eu-north-1,hpc7a.12xlarge
eu-north-1,hpc7a.24xlarge
eu-north-1,hpc7a.48xlarge
eu-north-1,hpc7a.96xlarge
eu-north-1,i3.16xlarge
eu-north-1,i3.2xlarge
eu-north-1,i3.4xlarge
eu-north-1,i3.8xlarge
eu-north-1,i3.large
eu-north-1,i3.metal
eu-north-1,i3.xlarge
eu-north-1,i3en.12xlarge
eu-north-1,i3en.24xlarge
eu-north-1,i3en.2xlarge
eu-north-1,i3en.3xlarge
eu-north-1,i3en.6xlarge
eu-north-1,i3en.large
eu-north-1,i3en.metal
eu-north-1,i3en.xlarge
eu-north-1,i4i.12xlarge
eu-north-1,i4i.16xlarge
eu-north-1,i4i.24xlarge
eu-north-1,i4i.2xlarge
eu-north-1,i4i.32xlarge
eu-north-1,i4i.4xlarge
eu-north-1,i4i.8xlarge
eu-north-1,i4i.large
eu-north-1,i4i.metal
eu-north-1,i4i.xlarge
eu-north-1,inf1.24xlarge
eu-north-1,inf1.2xlarge
eu-north-1,inf1.6xlarge
eu-north-1,inf1.xlarge
eu-north-1,inf2.24xlarge
eu-north-1,inf2.48xlarge
eu-north-1,inf2.8xlarge
eu-north-1,inf2.xlarge
eu-north-1,m5.12xlarge
eu-north-1,m5.16xlarge
eu-north-1,m5.24xlarge
eu-north-1,m5.2xlarge
eu-north-1,m5.4xlarge
eu-north-1,m5.8xlarge
eu-north-1,m5.large
eu-north-1,m5.metal
